Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
LLUVIA EN LA SELVA,091,2021-05-04,2021-05-06,2021-05-08,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,084,2021-04-23,2021-04-25,2021-04-27,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,074,2021-04-09,2021-04-11,2021-04-13,59 Hrs.,NARANJA
LLUVIA EN LA SELVA,068,2021-03-31,2021-04-01,2021-04-04,77 Hrs.,NARANJA
LLUVIA EN LA SELVA,065,2021-03-25,2021-03-27,2021-03-29,71 Hrs.,ROJO
LLUVIA EN LA SELVA,055,2021-03-17,2021-03-19,2021-03-21,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA Y SIERRA,051,2021-03-12,2021-03-13,2021-03-15,59 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (ACTUALIZACIÓN DEL AVISO 045),047,2021-03-08,2021-03-08,2021-03-10,57 Hrs.,NARANJA
LLUVIA EN LA SELVA,046,2021-03-07,2021-03-09,2021-03-10,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,039,2021-02-26,2021-02-28,2021-03-02,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,038,2021-02-26,2021-02-28,2021-03-02,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,037,2021-02-20,2021-02-21,2021-02-22,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,033,2021-02-15,2021-02-17,2021-02-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,030,2021-02-10,2021-02-12,2021-02-13,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,028,2021-02-08,2021-02-10,2021-02-11,47 Hrs.,ROJO
LLUVIA EN LA SELVA,024,2021-02-03,2021-02-05,2021-02-06,47 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 017),019,2021-01-28,2021-01-30,2021-01-31,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,018,2021-01-28,2021-01-30,2021-02-01,57 Hrs.,AMARILLO
LLUVIA EN LA SELVA,017,2021-01-26,2021-01-28,2021-01-29,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,013,2021-01-20,2021-01-22,2021-01-24,55 Hrs.,NARANJA
LLUVIA EN LA SELVA,010,2021-01-16,2021-01-18,2021-01-20,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,004,2021-01-03,2021-01-05,2021-01-06,47 Hrs.,ROJO
